GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Boutique,sn.commerce.config,ElasticsearchConfiguration.CustomEntityMapper,11,34,0,0,2,8,2,1,2,1
Boutique,sn.commerce.config,LoggingAspectConfiguration,5,3,0,0,1,1,1,1,1,1
Boutique,sn.commerce.config,SecurityConfiguration,0,212,0,0,0,52,0,5,0,5
Boutique,sn.commerce.config,WebConfigurer,123,135,13,5,23,32,11,6,2,6
Boutique,sn.commerce.config,JacksonConfiguration,0,27,0,0,0,7,0,7,0,7
Boutique,sn.commerce.config,ApplicationProperties,0,3,0,0,0,1,0,1,0,1
Boutique,sn.commerce.config,LoggingConfiguration,3,59,6,4,0,17,5,1,0,1
Boutique,sn.commerce.config,AsyncConfiguration,4,46,0,0,1,11,1,2,1,2
Boutique,sn.commerce.config,CloudDatabaseConfiguration,15,0,0,0,4,0,2,0,2,0
Boutique,sn.commerce.config,CacheConfiguration,0,51,0,2,0,18,0,5,0,4
Boutique,sn.commerce.config,LocaleConfiguration,0,24,0,0,0,8,0,3,0,3
Boutique,sn.commerce.config,ElasticsearchConfiguration,0,24,0,0,0,5,0,3,0,3
Boutique,sn.commerce.config,DefaultProfileUtil,13,0,0,0,4,0,1,0,1,0
Boutique,sn.commerce.config,LiquibaseConfiguration,4,60,1,1,1,15,1,2,0,2
Boutique,sn.commerce.config,DateTimeFormatConfiguration,0,14,0,0,0,5,0,2,0,2
Boutique,sn.commerce.config,DatabaseConfiguration,0,7,0,0,0,2,0,1,0,1
Boutique,sn.commerce.web.rest,AccountResource,12,188,2,20,1,47,3,20,1,11
Boutique,sn.commerce.web.rest,AuditResource,0,56,0,0,0,12,0,4,0,4
Boutique,sn.commerce.web.rest,UserResource,12,204,0,14,3,40,1,14,1,7
Boutique,sn.commerce.web.rest,UserJWTController,0,67,0,2,0,13,0,3,0,2
Boutique,sn.commerce.web.rest,UserJWTController.JWTToken,4,9,0,0,2,4,1,2,1,2
Boutique,sn.commerce.web.rest,ClientForwardController,0,5,0,0,0,2,0,2,0,2
Boutique,sn.commerce.web.rest,AccountResource.AccountResourceException,0,4,0,0,0,2,0,1,0,1
Boutique,sn.commerce.service,AuditEventService,0,52,0,0,0,12,0,4,0,4
Boutique,sn.commerce.service,MailService,7,176,1,1,1,39,1,6,0,6
Boutique,sn.commerce.service,UserService,18,625,2,10,3,165,4,31,2,27
Boutique,sn.commerce.service.dto,PasswordChangeDTO,0,26,0,0,0,12,0,6,0,6
Boutique,sn.commerce.service.dto,UserDTO,0,242,0,0,0,60,0,29,0,29
Boutique,sn.commerce.aop.logging,LoggingAspect,177,0,10,0,24,0,10,0,5,0
Boutique,sn.commerce.domain,Authority_,3,0,0,0,1,0,1,0,1,0
Boutique,sn.commerce.domain,PersistentAuditEvent,0,95,0,8,0,24,0,18,0,14
Boutique,sn.commerce.domain,AbstractAuditingEntity,0,37,0,0,0,17,0,9,0,9
Boutique,sn.commerce.domain,User,0,196,0,8,0,50,0,34,0,30
Boutique,sn.commerce.domain,User_,3,0,0,0,1,0,1,0,1,0
Boutique,sn.commerce.domain,Authority,0,45,0,4,0,11,0,8,0,6
Boutique,sn.commerce.domain,PersistentAuditEvent_,3,0,0,0,1,0,1,0,1,0
Boutique,sn.commerce.domain,AbstractAuditingEntity_,3,0,0,0,1,0,1,0,1,0
Boutique,sn.commerce.security.jwt,JWTFilter,45,6,8,0,11,3,6,1,2,1
Boutique,sn.commerce.security.jwt,JWTConfigurer,0,18,0,0,0,6,0,2,0,2
Boutique,sn.commerce.security.jwt,TokenProvider,100,108,1,3,28,28,3,4,2,3
Boutique,sn.commerce.service.mapper,UserMapper,0,118,0,6,0,37,0,11,0,8
Boutique,sn.commerce.config.audit,AuditEventConverter,41,83,8,8,10,19,7,6,1,4
Boutique,sn.commerce.web.rest.errors,InvalidPasswordException,0,6,0,0,0,2,0,1,0,1
Boutique,sn.commerce.web.rest.errors,FieldErrorVM,0,21,0,0,0,8,0,4,0,4
Boutique,sn.commerce.web.rest.errors,BadRequestAlertException,0,54,0,0,0,12,0,5,0,5
Boutique,sn.commerce.web.rest.errors,EmailAlreadyUsedException,0,7,0,0,0,2,0,1,0,1
Boutique,sn.commerce.web.rest.errors,ErrorConstants,0,22,0,0,0,7,0,1,0,1
Boutique,sn.commerce.web.rest.errors,LoginAlreadyUsedException,0,7,0,0,0,2,0,1,0,1
Boutique,sn.commerce.web.rest.errors,ExceptionTranslator,27,170,4,10,9,37,5,9,1,6
Boutique,sn.commerce.web.rest.errors,EmailNotFoundException,0,6,0,0,0,2,0,1,0,1
Boutique,sn.commerce.security,SecurityUtils,96,19,3,1,23,6,11,2,9,2
Boutique,sn.commerce.security,UserNotActivatedException,5,4,0,0,2,2,1,1,1,1
Boutique,sn.commerce.security,SpringSecurityAuditorAware,0,8,0,0,0,2,0,2,0,2
Boutique,sn.commerce.security,DomainUserDetailsService,20,111,0,4,0,20,2,8,2,6
Boutique,sn.commerce.repository,CustomAuditEventRepository,12,121,2,10,3,28,3,7,1,3
Boutique,sn.commerce.web.rest.vm,ManagedUserVM,12,10,0,0,1,5,1,3,1,3
Boutique,sn.commerce.web.rest.vm,KeyAndPasswordVM,0,17,0,0,0,7,0,5,0,5
Boutique,sn.commerce.web.rest.vm,LoginVM,19,24,0,0,1,10,1,7,1,7
Boutique,sn.commerce.service.util,RandomUtil,0,9,0,0,0,3,0,3,0,3
Boutique,sn.commerce,BoutiqueApp,110,24,10,2,23,8,8,3,2,3
Boutique,sn.commerce,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
